content,tweet_id,polarity
¿La posición acertada será la Merkel-Sarko-líderesUE o la de Krugman-discípulos? ¿Llegaremos a saberlo alguna vez?,142532743211917312,NONE
"Ultimo dia de 'cole' esta semana, nada mejor que despedirlo con mucha marcha en @mananascuatro con @mrtfernandez  http://t.co/NCu0pecV",142559090676203520,P
Otra de puertas abiertas. Una paisana de Bono le dice lo guapo que está aunque no va a enamorarse. La amiga:' lo que le faltaba al hombre'.,142559890332856321,NEU
"A las 3 en Antena3, ZP deja a Rajoy la aprobación de la ley antidescargas en Internet, después de muchas discusiones entre ministros",142599953318023170,NEU
Que frio ☔⚡,142642819490783233,N
"Y digo que lo mejor del gobierno extremeño está en la Consejera de Educación y Cultura , a la que  le atribuyen la culpa de la UEX sin razón",142702318377381888,P
"Mucha fuerza, colaboren. RT @caromonte3: @AlejandroSanz alejandrito mandamos mucho animo a los (cont) http://t.co/mc42ixie",142788819555594240,P
"Tono López Istúriz, el hombre entre bambalinas: ""Rajoy envia a un emisario para preparar su entronizacion europea"" http://t.co/hT5Ye1ru",142854897455480833,N
Por cierto muy recomendable en Madrid la exposición de Yves Saint Laurent http://t.co/j1PIiLis,142893813671804928,P
Imprescindible lectura para periodistas y no periodistas http://t.co/WsTvoeGy Habla nuestra nueva presidenta @CarmendelRiego,142956192958918656,P
"En el templo del SPD, Willy-Brandt-Haus en Berlín, #recuperando la socialdemocracia http://t.co/uVUDzvJx",142981434817253376,P
"Grabado hace 4 meses con algo d polemica, el miércoles sale mi intervención n""Mas allá de la vida""se ve q no me creí nada pero fui educadito",143277024159596545,NONE
“@eatonvidal: @Edurnity mi segundo apellido es Vidal... ahí queda eso!!! jejeje”guaaaaauuu,143353629821247488,NONE
“@AnaGaMoral: @Edurnity Mi terecer apellido es Velasco...Tendre algo que ver con Concha Velasco?”o con @manuelmvelasco jajja,143354094961180672,NONE
“@AnaGaMoral: @Edurnity mi sexto apellido es cabrejas...Mi antepasado era una cabra?”jaaajjajaja,143359642121150465,NONE
Esta mañana navegaba. Ahora voy en autobús...,143378020877615105,N
"Rafa nos ha vuelto a hacer vibrar. Sin duda, el mejor deportista español.",143380484771151873,P
gran cobertura del compañero francisco herranz en el mundo.es de las elecciones rusas.,143395300835475457,P
Hoy prefiero no contaros la portada. Es mejor que la veáis y opinéis.La Europa de Merkozy:http://t.co/q7PO4Ajv#portadaEPC#ePeriodico,143445929842847744,NONE
Las dos Argentinas del #corralito http://t.co/kzY145eL,143457105385500673,N
Camino a @LaVozMexico .. No se pierdan las actuaciones de mis tres gallos. Impresionantes.,143498516671627264,P
Sra. Rushmore estrena La Peineta http://t.co/SwRwl7yN vía @elmundoes,143657217860706304,P
Jeje...siii!! RT @Dalearden_ @Tonicanto1 :))) te puedo seguir tuteando...??? ;),143688482118840320,P
@carlosecue un comunicado,143700240929783808,NONE
Tenemos enormes dudas sobre la proposición de Ley del PSOE-A para delegar las competencias del Guadalquivir http://t.co/tca10DM5,143726148277387264,N
Que gran verdad! “@Sonya_Back: @Federicoquevedo Jajajaja si es que hay que ser responsable hasta para perder la cabeza!!”,143767513883344896,P
Con mis hermanos Wisin & Yandel en el Coliseo Puerto Rico http://t.co/uDczfhd9,143769627347009536,NONE
A dos minutos de que @pacorengel me haga la primera entrevista en directo en Twitter #YNTERVIUMARIVI,143804227016343552,P
@carlos__alsina Está claro. Harán falta años de mujeres en el poder. El llanto no es  debilidad. Lloramos más pero no somos menos fuertes.,143823917008691200,N
"Helmut Schmidt: ""los excedentes de exportación de Alemania son el déficit de otros países europeos""",143980539160956928,NEU
En el Día de la Constitución vamos a recordar a todos los que han dado su vida por defender la libertad #vivalaconstitucion,143996873697525760,P
"Un euro, 257 pesetas, por @Nuno_Rodrigo5 http://t.co/Zk2yoEMh",144000116611751937,NONE
#Rajoy recibe con rostro serio y circunspecto las palabras de saludo y deseos de éxito en su gestión de Jose Bono.,144014638898614272,NEU
. @pacodelatorrep interviene junto a la portada de @diario_sur del día que se aprobó nuestra Constitución. #malaga http://t.co/YKLdj8CG,144014719026601984,P
"Hoy he asistido a la fiesta de la Constitución en el Congreso de los diputados, todos debemos conocerla, respetarla y cuidarla reformándola",144093194655768576,P
"Una vez que hemos dedicado este hermoso día a honrar la Constitución, a ver si dedicamos el resto del año a honrarnos a nosotros mismos.",144153026976948224,P
La crisis también atemoriza a la mujer trabajadora http://t.co/7uz5eeHd #igualdad,144395994300284928,N
"Sembrar dudas sobre la autoría del 11M, para negar su derrota electoral, mientras se desprecia a las familias de las víctimas, es vergonzoso",144480216641830912,N
@ElenaValenciano @pauladelasheras @pepegrinan llevamos tiempo haciéndolo.Ayer mismo RbCb: necesario plan crecimiento con fondos UE/eurobonos,144492250871758848,P
"Crónica de ' El declive del bipartidismo 2 ': Ambos partidos anuncian su apoyo a la reforma impuesta de los tratados UE ,sin referéndum",144716644856504320,N
Rajoy ya ha visto a Durao Barroso. Ahora con Donald Tusk (primer ministro Polaco y presid. de turno de la UE) Maratón de reuniones... yeah!,144756052376825858,P
"bien! “@Fede_dejuan: HOY HAYMerkel y jabón d Marsella,Sinde despilfarrando, Ansón e igualdad de género y Villancico alternativo inesperado”",144853533760557056,NEU
Portada La Vanguardia http://t.co/opEhWgfR ...,145037842035384320,NONE
"Croacia firma adhesión UE. No olvidemos a Serbia y Bosnia, también son Europa",145080739560554496,P
#FF a @miquelsubiaseva porque es lo contrario a Lady Macbeth.,145094377851723776,P
Zapatero se muda a la casa donde se rodó Torrente 4...por 2500 pavos al mes... http://t.co/kM2vcuIT,145099675576446976,NONE
Entre conceder cien días de gracia a un nuevo presidente y exigirle resultados y criticarle antes de tomar posesión habrá un término medio,145118321677832192,NEU
"¿No estaba todo consensuado? RT:“@basteiro: Según ZP, la petición del PP de vetar las decisiones del fondo de rescate carecía de sentido""",145154535416012801,N
#FF para @Sergijasanada por el currazo que le espera!!! Deseando ver el resultado final !!!!,145164021820162048,P
De donde es? RT @MundoSanzero_EC: Nos robamos esta foto de @NaTi_MundoSanz. Moriii tan bello @AlejandroSanz http://t.co/AmczCC9l,145295727755665408,P
A un lado de la calle actúa Hugh Jackman... http://t.co/HdQLVhqV,145391042978512896,P
S&P podría rebajar la nota de las aseguradoras Mapfre y Nacional de Reaseguros - http://t.co/sk5NlcNi,145426737554137088,N
¿Una porrita Madrid-Barcelona? Yo 3-1,145430583122735104,NONE
"Agua Bulgari, y yo con estos pelos. http://t.co/H2ReQfKK",145471921759326208,NONE
