content,polarity
Los que esta noche van a la redonda a celebrar la victoria  del  Real Madrid  les espero para cuando suba el  @realmurciacfsad  a primera.,P
Diooooos que careron de  gareth  madreeeeee ahí están los jugadores importantes decidiendo  partidos  vamos coñoooooooo jajaja hala  madrid,P
Ganó el mejor.  @realmadrid    #CopaRelRey    #FinalCopaRelRey,P
@realmadrid  Felicidades!!! ? Gracias por alegrarme la tarde!!! ??? *Aplausos* #Feliz,P
@titelas Mañana  Bale  en naranja,NEU
"No digáis ahora que vaya robo, cuando el  Madrid  ha sido superior claramente, y a  messi  ni se le ha visto.",P
Haha que risa los barcelonistas diciendo que asi  Messi  llega mejor al mundial,N
Enorme mi  real Madrid  ganando como debe de ser enhorabuena por esa  copa del rey  http://t.co/ZReB1B450S,P
Grande  Jonathan Dos Santos ! Apareciendo nuevamente en escena #ClásicoxESPN,P
Vuestro odio es nuestra fuerza!!!!!  HALA MADRID !!!!,P
@El_Anto10: algo comico no le den la copa a  Sergio Ramos  por favor :D hahahahaha,NEU
""" Madrid  campeón de la  copa del Rey  <3<3""",P
Estadística oficial:  CR  ha marcado los mismos goles desde la grada en la  final de la copa de SM el Rey  que  Messi  en el campo.,NEU
"Menos mal que esta  Casillas  de capitán hoy, porque si recoge la Copa  Sergio Ramos  la lía otra vez.",NEU
"Volver a pitar el himno, volver a tirarnos el balon a la cara, volver a ser lo guarros que sois...y volver a vernos ganaaar!!!!  HALA MADRID !",P
Y viva los tíos como  ramos  que presumen de ser españoles!,P
Nomas les pido  @realmadrid  que esta Copa no se les vaya a caer debajo del autobús también,NEU
El  @Madrid  sin su comandante cerro el ciclo del  @Barcelona,NEU
Ahora coge  Sergio Ramos  y tira la copa otra vez y la mete debajo del autobús!!   #FinalCopaRelRey,N
"Bale  es un sádico, más nada",N
"""En los ultimos dos clasicos tampoco jugo que por cierto perdieron""""@Cmbd27: Les ganamos y sin  @Cristiano  SON UNAS BASURAS JAJAJAJAJAJA""""""",NEU
"Para mí,  ISCO  ha hecho un  partidazo .  El mejor partido  desde que llegó al  Real Madrid .",P
@monterocnn @panqueka22 150 millones vs 100 Neymar vs Bale más atleta Bale que  Neymar  toda la vida Arriba  Bale,N
¿Sabéis qué? Que nosotros no jugábamos con  Cristiano  pero vosotros sí con  Messi . Luego habláis.,NEU
Adentro la tienen los cules bien adentro  messi .,N
@Borre7_: El palo de  Neymar  ha sido el karma,NEU
"Querido  Tata ..Retírate, estos hombres llevan toda la puta vida dedicados a un sitio del campo y tu no se te ocurre otra cosa que cambiarlos",N
"Para los que decís que el  Real Madrid  no es nada sin  Cristiano , hablar ahora venga jajajajajaja",P
@moig02 clarooo chula y sin  Cr7  :D,NEU
Messi  el mejor del  partido,P
Hoy el  Barcelona  creo que se ha merecido perder solo le salvó el gol de  Bartra  que luego no fue capaz ni de hacer falta.Resultado justo,N
"""ahora aparecen algunos  """"madridistas"""" , cuando está todo hecho, a decir: hala  madrid , puta  barsa . MUY BIEN.""",N
